recid	adpricetype	adprice	adDepth	adType
1880010199	0	6.67	 	 
1880010200	0	6.67	 	 
1880010201	0	2.5	 	 
1880010202	0	2.5	 	 
1880010203	0	3.34	 	 
1880010204	0	4.17	 	 
1880010205	0	11.5	 	 
1880010206	0	5	 	 
1880010207	0	4.17	 	 
1880010208	0	4.17	 	 
1880010209	0	4.5	 	 
1880010210	0	5	 	 
1880010211	0	2.5	 	 
1880010212	0	5	 	 
1880010213	0	5	 	 
1880010214	0	4.17	 	 
1880010215	0	4.17	 	 
1880010216	0	15	 	 
1880010217	0	4	 	 
1880010218	0	9.37	 	 
1880010219	0	10.5	 	 
1880010220	0	4.17	 	 
1880010221	0	4.17	 	 
1880010222	0	5	 	 
1880010223	0	8.5	 	 
1880010224	0	7	 	 
1880010225	0	6.5	 	 
1880010226	0	3.5	 	 
1880010227	0	3.5	 	 
1880010228	0	4.17	 	 
1880010229	0	3.34	 	 
1880010230	0	5	 	 
1880010231	0	5	 	 
1880010232	0	6.67	 	 
1880010233	0	3.34	 	 
1880010234	0	7	 	 
1880010235	0	4.17	 	 
1880010236	0	11.25	 	 
1880010237	0	15	 	 
1880010238	0	15	 	 
1880010239	0	13	 	 
1880010240	0	17.5	 	 
1880010241	0	16.8	 	 
1880010242	0	20	 	 
1880010243	0	15	 	 
1880010244	0	20	 	 
1880010245	0	15	 	 
1880010246	0	10	 	 
1880010247	0	15	 	 
1880010248	0	15	 	 
1880010249	0	22.5	 	 
1880010250	0	10	 	 
1880010251	0	20	 	 
1880010252	0	52	 	 
1880010253	0	49.4	 	 
1880010254	0	15	 	 
1880010255	0	20.8	 	 
1880010256	0	26	 	 
1880010257	0	39	 	 
1880010258	0	5.5	 	 
1880010259	0	21.45	 	 
1880010260	0	21.45	 	 
1880010261	0	11.25	 	 
1880010262	0	11.5	 	 
1880010263	0	9	 	 
1880010264	0	12.85	 	 
1880010265	0	11.25	 	 
1880010266	0	11.25	 	 
1880010267	0	11.5	 	 
1880010268	0	7.8	 	 
1880010269	0	1.5	 	 
1880010270	0	3.54	 	 
1880010271	0	9.59	 	 
1880010272	0	6	 	 
1880010273	0	3.5	 	 
1880010275	0	3.5	 	 
1880010276	0	6.25	 	 
1880010277	0	5	 	 
1880010278	0	4.17	 	 
1880010279	0	5	 	 
1880010280	0	4.17	 	 
1880010281	0	5	 	 
1880010282	0	3.13	 	 
1880010283	0	5	 	 
1880010284	0	4	 	 
1880010285	0	8	 	 
1880010286	0	6.25	 	 
1880010287	0	6.25	 	 
1880010288	0	5	 	 
1880010289	0	6	 	 
1880010290	0	9.17	 	 
1880010291	0	4.5	 	 
1880010292	0	8.5	 	 
1880010293	0	5	 	 
1880010294	0	6.55	 	 
1880010295	0	6	 	 
1880010296	0	3.5	 	 
1880010297	0	7.5	 	 
1880010298	0	7.5	 	 
1880010299	0	5.55	 	 
1880010300	0	6.25	 	 
1880010301	0	5.55	 	 
1880010302	0	6	 	 
1880010303	0	6	 	 
1880010304	0	5	 	 
1880010305	0	4.17	 	 
1880010306	0	4	 	 
1880010307	0	2.09	 	 
1880010308	0	5	 	 
1880010309	0	1.67	 	 
1880010310	0	4.37	 	 
1880010311	0	4.37	 	 
1880010312	0	4.17	 	 
1880010313	0	1.67	 	 
1880010314	0	6.95	 	 
1880010315	0	5	 	 
1880010316	0	4	 	 
1880010317	0	2.5	 	 
1880010318	0	5	 	 
1880010319	0	5	 	 
1880010320	0	3.34	 	 
1880010321	0	4.17	 	 
1880010322	0	4.17	 	 
1880010323	0	12.5	 	 
1880010324	0	12.5	 	 
1880010325	0	12.5	 	 
1880010326	0	12.5	 	 
1880010327	0	10	 	 
1880010328	0	15	 	 
1880010329	0	6	 	 
1880010330	0	6.25	 	 
1880010331	0	6.25	 	 
1880010332	0	5	 	 
1880010333	0	6.93	 	 
1880010334	0	4.17	 	 
1880010335	0	4	 	 
1880010336	0	10	 	 
1880010337	0	12.5	 	 
1880010338	0	8.34	 	 
1880010340	0	12.5	 	 
1880010341	0	12.5	 	 
1880010342	0	6.5	 	 
1880010343	0	7.5	 	 
1880010344	0	7.5	 	 
1880010345	0	8	 	 
1880010346	0	8	 	 
1880010347	0	6.75	 	 
1880010348	0	7	 	 
1880010349	0	6.25	 	 
1880010350	0	6	 	 
1880010351	0	8.5	 	 
1880010352	0	10.62	 	 
1880010353	0	5	 	 
1880010354	0	3	 	 
1880010355	0	7.5	 	 
1880010356	0	3.34	 	 
1880010357	0	12.5	 	 
1880010358	0	8	 	 
1880010359	0	5	 	 
1880010360	0	8.75	 	 
1880010361	0	5.42	 	 
1880010362	0	5	 	 
1880010363	0	6	 	 
1880010364	0	4.17	 	 
1880010365	0	8	 	 
1880010366	0	4.17	 	 
1880010367	0	4.17	 	 
1880010368	0	5	 	 
1880010369	0	5	 	 
1880010370	0	8	 	 
1880010371	0	8	 	 
1880010372	0	4.17	 	 
1880010373	0	6.67	 	 
1880010374	0	6.67	 	 
1880010375	0	11.2	 	 
1880010376	0	12	 	 
1880010377	0	10	 	 
1880010378	0	4.17	 	 
1880010379	0	8	 	 
1880010380	0	8	 	 
1880010381	0	12.5	 	 
1880010382	0	13	 	 
1880010383	0	12.5	 	 
1880010384	0	6	 	 
1880010385	0	11.43	 	 
1880010386	0	8	 	 
1880010387	0	8	 	 
1880010388	0	6.67	 	 
1880010389	0	12	 	 
1880010390	0	6.67	 	 
1880010391	0	4	 	 
1880010392	0	5	 	 
1880010393	0	15.8	 	 
1880010394	0	5	 	 
1880010395	0	5	 	 
1880010396	0	5	 	 
1880010397	0	10	 	 
1880010398	0	15.8	 	 
1880010399	0	15.62	 	 
1880010400	0	15	 	 
1880010401	0	7	 	 
1880010402	0	7	 	 
1880010403	0	7	 	 
1880010404	0	15	 	 
1880010405	0	13.34	 	 
1880010406	0	5	 	 
1880010407	0	12	 	 
1880010408	0	12	 	 
1880010409	0	12	 	 
1880010410	0	10	 	 
1880010411	0	12	 	 
1880010412	0	12	 	 
1880010413	0	12	 	 
1880010414	0	9	 	 
1880010415	0	9	 	 
1880010416	0	6.25	 	 
1880010417	0	6.25	 	 
1880010418	0	6.67	 	 
1880010419	0	6.67	 	 
1880010420	0	6.67	 	 
1880010421	0	7	 	 
1880010422	0	6.67	 	 
1880010423	0	6.67	 	 
