GISJOIN,YEAR,STATE,STATEA,COUNTYA,CTY_SUBA,PLACE,PLACEA,TRACTA,ENUMDISTA,CMSA,SMSAA,URB_AREAA,BLCK_GRPA,ANXTERRA,URBRURALA,CDA,AREANAME,CENCNTY,CBD,SEA,CBC001
"G0100307","1970","Alabama","01",,,"Carolina","0307",,,,,,,,,,"Carolina",,,,192
"G0100310","1970","Alabama","01",,,"Carrollton","0310",,,,,,,,,,"Carrollton",,,,923
"G0100315","1970","Alabama","01",,,"Carrville","0315",,,,,,,,,,"Carrville",,,,895
"G0100325","1970","Alabama","01",,,"Castleberry","0325",,,,,,,,,,"Castleberry",,,,666
"G0100330","1970","Alabama","01",,,"Cedar Bluff","0330",,,,,,,,,,"Cedar Bluff",,,,956
"G0100335","1970","Alabama","01",,,"Center Point (U)","0335",,,,,,,,,,"Center Point (U)",,,,15675
"G0100340","1970","Alabama","01",,,"Centre","0340",,,,,,,,,,"Centre",,,,2418
"G0100345","1970","Alabama","01",,,"Centreville","0345",,,,,,,,,,"Centreville",,,,2233
"G0100355","1970","Alabama","01",,,"Chatom","0355",,,,,,,,,,"Chatom",,,,1059
"G0100360","1970","Alabama","01",,,"Cherokee","0360",,,,,,,,,,"Cherokee",,,,1484
"G0100365","1970","Alabama","01",,,"Chickasaw","0365",,,,,,,,,,"Chickasaw",,,,8447
"G0100370","1970","Alabama","01",,,"Childersburg","0370",,,,,,,,,,"Childersburg",,,,4831
"G0100375","1970","Alabama","01",,,"Citronelle","0375",,,,,,,,,,"Citronelle",,,,1935
"G0100380","1970","Alabama","01",,,"Clanton","0380",,,,,,,,,,"Clanton",,,,5868
"G0100385","1970","Alabama","01",,,"Clayton","0385",,,,,,,,,,"Clayton",,,,1626
"G0100387","1970","Alabama","01",,,"Cleveland","0387",,,,,,,,,,"Cleveland",,,,413
"G0100390","1970","Alabama","01",,,"Clio","0390",,,,,,,,,,"Clio",,,,1065
"G0100395","1970","Alabama","01",,,"Coffee Springs","0395",,,,,,,,,,"Coffee Springs",,,,329
"G0100400","1970","Alabama","01",,,"Coffeeville","0400",,,,,,,,,,"Coffeeville",,,,441
"G0100405","1970","Alabama","01",,,"Collinsville","0405",,,,,,,,,,"Collinsville",,,,1300
"G0100410","1970","Alabama","01",,,"Columbia","0410",,,,,,,,,,"Columbia",,,,891
"G0100415","1970","Alabama","01",,,"Columbiana","0415",,,,,,,,,,"Columbiana",,,,2248
"G0100420","1970","Alabama","01",,,"Cordova","0420",,,,,,,,,,"Cordova",,,,2750
"G0100425","1970","Alabama","01",,,"Cottonwood","0425",,,,,,,,,,"Cottonwood",,,,1149
"G0100430","1970","Alabama","01",,,"County Line","0430",,,,,,,,,,"County Line",,,,199
"G0100435","1970","Alabama","01",,,"Courtland","0435",,,,,,,,,,"Courtland",,,,547
"G0100436","1970","Alabama","01",,,"Cowarts","0436",,,,,,,,,,"Cowarts",,,,350
"G0100437","1970","Alabama","01",,,"Craig (U)","0437",,,,,,,,,,"Craig (U)",,,,1894
"G0100440","1970","Alabama","01",,,"Crossville","0440",,,,,,,,,,"Crossville",,,,1035
"G0100445","1970","Alabama","01",,,"Cuba","0445",,,,,,,,,,"Cuba",,,,386
"G0100450","1970","Alabama","01",,,"Cullman","0450",,,,,,,,,,"Cullman",,,,12601
"G0100455","1970","Alabama","01",,,"Dadeville","0455",,,,,,,,,,"Dadeville",,,,2847
"G0100460","1970","Alabama","01",,,"Daleville","0460",,,,,,,,,,"Daleville",,,,5182
"G0100465","1970","Alabama","01",,,"Daphne","0465",,,,,,,,,,"Daphne",,,,2382
"G0100470","1970","Alabama","01",,,"Daviston","0470",,,,,,,,,,"Daviston",,,,247
"G0100475","1970","Alabama","01",,,"Dayton","0475",,,,,,,,,,"Dayton",,,,115
"G0100480","1970","Alabama","01",,,"Decatur","0480",,,,,,,,,,"Decatur",,,,38044
"G0100485","1970","Alabama","01",,,"Demopolis","0485",,,,,,,,,,"Demopolis",,,,7651
"G0100490","1970","Alabama","01",,,"Detroit","0490",,,,,,,,,,"Detroit",,,,191
"G0100492","1970","Alabama","01",,,"Docena (U)","0492",,,,,,,,,,"Docena (U)",,,,1140
"G0100495","1970","Alabama","01",,,"Dora","0495",,,,,,,,,,"Dora",,,,1862
"G0100500","1970","Alabama","01",,,"Dothan","0500",,,,,,,,,,"Dothan",,,,36733
"G0100505","1970","Alabama","01",,,"Double Springs","0505",,,,,,,,,,"Double Springs",,,,957
"G0100510","1970","Alabama","01",,,"Dozier","0510",,,,,,,,,,"Dozier",,,,304
"G0100513","1970","Alabama","01",,,"Dutton","0513",,,,,,,,,,"Dutton",,,,423
"G0100515","1970","Alabama","01",,,"East Brewton","0515",,,,,,,,,,"East Brewton",,,,2336
"G0100520","1970","Alabama","01",,,"Eclectic","0520",,,,,,,,,,"Eclectic",,,,1184
"G0100525","1970","Alabama","01",,,"Edwardsville","0525",,,,,,,,,,"Edwardsville",,,,146
"G0100530","1970","Alabama","01",,,"Elba","0530",,,,,,,,,,"Elba",,,,4634
"G0100535","1970","Alabama","01",,,"Elberta","0535",,,,,,,,,,"Elberta",,,,395
"G0100540","1970","Alabama","01",,,"Elkmont","0540",,,,,,,,,,"Elkmont",,,,394
"G0100545","1970","Alabama","01",,,"Enterprise","0545",,,,,,,,,,"Enterprise",,,,15591
"G0100550","1970","Alabama","01",,,"Epes","0550",,,,,,,,,,"Epes",,,,293
"G0100555","1970","Alabama","01",,,"Ethelsville","0555",,,,,,,,,,"Ethelsville",,,,98
"G0100560","1970","Alabama","01",,,"Eufaula","0560",,,,,,,,,,"Eufaula",,,,9102
"G0100565","1970","Alabama","01",,,"Eunola","0565",,,,,,,,,,"Eunola",,,,141
"G0100570","1970","Alabama","01",,,"Eutaw","0570",,,,,,,,,,"Eutaw",,,,2805
"G0100572","1970","Alabama","01",,,"Eva","0572",,,,,,,,,,"Eva",,,,146
"G0100575","1970","Alabama","01",,,"Evergreen","0575",,,,,,,,,,"Evergreen",,,,3924
"G0100580","1970","Alabama","01",,,"Excel","0580",,,,,,,,,,"Excel",,,,422
"G0100585","1970","Alabama","01",,,"Fairfax (U)","0585",,,,,,,,,,"Fairfax (U)",,,,2772
"G0100590","1970","Alabama","01",,,"Fairfield","0590",,,,,,,,,,"Fairfield",,,,14369
"G0100595","1970","Alabama","01",,,"Fairhope","0595",,,,,,,,,,"Fairhope",,,,5720
"G0100597","1970","Alabama","01",,,"Fairview","0597",,,,,,,,,,"Fairview",,,,313
"G0100600","1970","Alabama","01",,,"Falkville","0600",,,,,,,,,,"Falkville",,,,946
"G0100605","1970","Alabama","01",,,"Faunsdale","0605",,,,,,,,,,"Faunsdale",,,,227
"G0100610","1970","Alabama","01",,,"Fayette","0610",,,,,,,,,,"Fayette",,,,4568
"G0100615","1970","Alabama","01",,,"Five Points","0615",,,,,,,,,,"Five Points",,,,247
"G0100622","1970","Alabama","01",,,"Flat Creek-Wegra-Praco (U)","0622",,,,,,,,,,"Flat Creek-Wegra-Praco (U)",,,,1066
"G0100625","1970","Alabama","01",,,"Flint City","0625",,,,,,,,,,"Flint City",,,,404
"G0100630","1970","Alabama","01",,,"Flomaton","0630",,,,,,,,,,"Flomaton",,,,1584
"G0100635","1970","Alabama","01",,,"Florala","0635",,,,,,,,,,"Florala",,,,2701
"G0100640","1970","Alabama","01",,,"Florence","0640",,,,,,,,,,"Florence",,,,34031
"G0100645","1970","Alabama","01",,,"Foley","0645",,,,,,,,,,"Foley",,,,3368
"G0100647","1970","Alabama","01",,,"Forestdale (U)","0647",,,,,,,,,,"Forestdale (U)",,,,6091
"G0100650","1970","Alabama","01",,,"Fort Deposit","0650",,,,,,,,,,"Fort Deposit",,,,1438
"G0100652","1970","Alabama","01",,,"Fort Mc Clellan (U)","0652",,,,,,,,,,"Fort Mc Clellan (U)",,,,5334
"G0100655","1970","Alabama","01",,,"Fort Payne","0655",,,,,,,,,,"Fort Payne",,,,8435
"G0100657","1970","Alabama","01",,,"Fort Rucker (U)","0657",,,,,,,,,,"Fort Rucker (U)",,,,14242
"G0100660","1970","Alabama","01",,,"Frisco City","0660",,,,,,,,,,"Frisco City",,,,1286
"G0100665","1970","Alabama","01",,,"Fruithurst","0665",,,,,,,,,,"Fruithurst",,,,229
"G0100670","1970","Alabama","01",,,"Fulton","0670",,,,,,,,,,"Fulton",,,,628
"G0100675","1970","Alabama","01",,,"Fultondale","0675",,,,,,,,,,"Fultondale",,,,5163
"G0100680","1970","Alabama","01",,,"Fyffe","0680",,,,,,,,,,"Fyffe",,,,311
"G0100685","1970","Alabama","01",,,"Gadsden","0685",,,,,,,,,,"Gadsden",,,,53928
"G0100690","1970","Alabama","01",,,"Gainesville","0690",,,,,,,,,,"Gainesville",,,,255
"G0100695","1970","Alabama","01",,,"Gantts Quarry","0695",,,,,,,,,,"Gantts Quarry",,,,63
"G0100700","1970","Alabama","01",,,"Garden City","0700",,,,,,,,,,"Garden City",,,,745
"G0100705","1970","Alabama","01",,,"Gardendale","0705",,,,,,,,,,"Gardendale",,,,6502
"G0100710","1970","Alabama","01",,,"Gaylesville","0710",,,,,,,,,,"Gaylesville",,,,161
"G0100715","1970","Alabama","01",,,"Geiger","0715",,,,,,,,,,"Geiger",,,,120
"G0100720","1970","Alabama","01",,,"Geneva","0720",,,,,,,,,,"Geneva",,,,4398
"G0100725","1970","Alabama","01",,,"Georgiana","0725",,,,,,,,,,"Georgiana",,,,2148
"G0100730","1970","Alabama","01",,,"Geraldine","0730",,,,,,,,,,"Geraldine",,,,610
"G0100735","1970","Alabama","01",,,"Gilbertown","0735",,,,,,,,,,"Gilbertown",,,,207
"G0100740","1970","Alabama","01",,,"Glen Allen","0740",,,,,,,,,,"Glen Allen",,,,276
"G0100745","1970","Alabama","01",,,"Glencoe","0745",,,,,,,,,,"Glencoe",,,,2901
"G0100750","1970","Alabama","01",,,"Glenwood","0750",,,,,,,,,,"Glenwood",,,,378
"G0100752","1970","Alabama","01",,,"Good Hope","0752",,,,,,,,,,"Good Hope",,,,840
"G0100755","1970","Alabama","01",,,"Goodwater","0755",,,,,,,,,,"Goodwater",,,,2172
"G0100760","1970","Alabama","01",,,"Gordo","0760",,,,,,,,,,"Gordo",,,,1991
"G0100765","1970","Alabama","01",,,"Gordon","0765",,,,,,,,,,"Gordon",,,,312
